"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/04/2019","127,67","127,76","127,99","127,61","92,51K","-0,01%"
"01/04/2019","127,68","128,51","128,51","127,64","92,32K","-0,55%"
"29/03/2019","128,39","128,73","128,85","128,33","96,22K","-0,22%"
"28/03/2019","128,67","128,45","129,49","128,41","108,56K","0,23%"
"27/03/2019","128,38","128,08","128,78","128,04","114,29K","0,28%"
"26/03/2019","128,02","128,94","128,99","128,01","102,71K","-0,67%"
"25/03/2019","128,89","128,95","129,63","128,60","93,65K","0,07%"
"22/03/2019","128,80","127,60","129,08","127,50","109,62K","0,99%"
"21/03/2019","127,54","128,12","128,27","127,23","100,20K","-0,42%"
"20/03/2019","128,08","127,74","128,33","127,04","97,01K","0,31%"
"19/03/2019","127,69","127,77","128,04","127,64","86,49K","-0,05%"
"18/03/2019","127,75","127,93","127,96","127,48","70,17K","-0,09%"
"15/03/2019","127,87","127,72","128,24","127,49","93,30K","0,17%"
"14/03/2019","127,65","128,34","128,36","127,56","104,13K","-0,48%"
"13/03/2019","128,26","128,10","128,51","127,95","92,95K","0,18%"
"12/03/2019","128,03","128,50","128,54","127,77","99,95K","-0,31%"
"11/03/2019","128,43","128,77","129,23","128,26","86,35K","-0,19%"
"08/03/2019","128,67","126,73","129,18","126,64","87,87K","1,59%"
"07/03/2019","126,65","126,52","126,84","126,40","81,31K","0,16%"
"06/03/2019","126,45","126,20","126,70","126,16","88,70K","0,25%"
"05/03/2019","126,14","126,46","126,59","125,92","89,40K","-0,21%"
"04/03/2019","126,40","126,29","126,57","126,03","88,56K","0,27%"
"01/03/2019","126,06","126,26","126,54","125,93","100,15K","-0,12%"
"28/02/2019","126,21","126,40","127,23","126,14","96,13K","-0,10%"
"27/02/2019","126,34","126,52","127,24","126,30","90,75K","-0,10%"
"26/02/2019","126,47","126,21","126,71","125,80","86,73K","0,23%"
"25/02/2019","126,18","127,02","127,07","126,01","95,09K","-0,61%"
"22/02/2019","126,95","127,03","127,24","126,74","104,66K","-0,02%"
"21/02/2019","126,97","126,65","127,19","126,61","103,60K","0,30%"
"20/02/2019","126,59","127,47","127,59","126,59","94,05K","-0,64%"
"19/02/2019","127,41","127,53","127,85","127,23","92,53K","-0,06%"
"18/02/2019","127,49","128,06","128,12","127,39","72,79K","-0,40%"
"15/02/2019","128,00","127,54","128,42","127,45","107,09K","0,41%"
"14/02/2019","127,48","126,64","127,57","126,58","99,21K","0,70%"
"13/02/2019","126,60","127,33","127,40","126,57","87,42K","-0,55%"
"12/02/2019","127,30","127,21","127,69","126,91","93,30K","0,13%"
"11/02/2019","127,14","127,15","127,79","127,09","73,46K","-0,05%"
"08/02/2019","127,20","127,24","127,60","127,05","94,70K","0,00%"
"07/02/2019","127,20","126,60","127,49","126,51","111,48K","0,52%"
"06/02/2019","126,54","126,91","127,23","126,43","108,15K","-0,24%"
"05/02/2019","126,85","126,99","127,12","126,81","96,99K","-0,06%"
