"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/05/2025","16.293,0","16.262,0","16.318,1","16.264,0","","0,09%"
"29/05/2025","16.278,5","16.262,0","16.300,0","16.278,5","","-0,07%"
"28/05/2025","16.290,0","16.287,5","16.312,5","16.275,0","","0,11%"
"27/05/2025","16.272,5","16.245,0","16.281,0","16.225,0","","0,20%"
"26/05/2025","16.240,0","16.185,0","16.245,0","16.155,0","","0,21%"
"25/05/2025","16.206,0","16.215,0","16.218,0","16.206,0","","-0,07%"
"23/05/2025","16.217,5","16.320,0","16.330,5","16.215,0","","-0,69%"
"22/05/2025","16.330,0","16.332,5","16.342,5","16.285,0","","-0,40%"
"21/05/2025","16.395,0","16.412,5","16.425,0","16.357,5","","-0,12%"
"20/05/2025","16.415,0","16.420,0","16.429,0","16.380,0","","-0,09%"
"19/05/2025","16.430,0","16.465,0","16.480,0","16.425,0","","-0,06%"
"16/05/2025","16.440,0","16.470,0","16.495,0","16.392,5","","-0,45%"
"15/05/2025","16.515,0","16.555,0","16.572,5","16.502,5","","-0,21%"
"14/05/2025","16.550,0","16.560,0","16.592,5","16.536,5","","0,21%"
"13/05/2025","16.515,0","16.515,0","16.515,0","16.515,0","","0,00%"
"12/05/2025","16.515,0","16.515,0","16.515,0","16.515,0","","0,00%"
"09/05/2025","16.515,0","16.537,5","16.565,0","16.500,0","","0,13%"
"08/05/2025","16.494,0","16.550,0","16.577,5","16.432,5","","-0,25%"
"07/05/2025","16.535,0","16.470,0","16.545,0","16.465,0","","0,52%"
"06/05/2025","16.450,0","16.465,0","16.492,5","16.435,0","","0,09%"
"05/05/2025","16.435,0","16.410,0","16.460,0","16.375,0","","0,00%"
"02/05/2025","16.435,0","16.615,0","16.615,0","16.424,5","","-0,99%"
"01/05/2025","16.600,0","16.600,0","16.600,0","16.600,0","","0,00%"
"30/04/2025","16.600,0","16.715,0","16.742,5","16.597,5","","-0,95%"
